,Vehicle Name,Price,Mileage,Dealer Name,Link
0,2021 Lincoln Navigator Reserve,"$75,998","16,297 mi.","
HGreg Infiniti Monrovia
",http://www.cars.com/vehicledetail/18d9f570-ca7e-413b-a5c9-7b568b49137d/
1,2021 Mercedes-Benz AMG CLA 35 Base 4MATIC,"$44,998","46,895 mi.","
CarMax Modesto - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/b35bd2ad-1366-44e2-ab7d-2f8ea82326f7/
2,2018 Land Rover Range Rover Velar P250 S,"$42,998","46,099 mi.","
CarMax Modesto - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/fd62e462-9be7-4494-a808-ea7545219b7a/
3,2006 Ford E350 Super Duty ,"$20,995","20,549 mi.","
Economy Auto Sales
",http://www.cars.com/vehicledetail/0f9e16b1-7c37-45a6-bc68-f68dd228e66c/
4,2010 MINI Cooper S ,"$8,999","149,249 mi.","
BabaCars
",http://www.cars.com/vehicledetail/883ac6f8-5ab1-4434-8a8a-16bdfddc0741/
5,2021 GMC Yukon XL Denali,"$67,288","63,658 mi.","
Tracy Volkswagen
",http://www.cars.com/vehicledetail/dfef41f8-bc6f-44c3-992a-5282c62f19e2/
6,2021 Audi Q8 55 Premium,"$68,999","29,700 mi.","
Mercedes-Benz of Stockton
",http://www.cars.com/vehicledetail/52c13201-1fd8-4c67-bf23-882079f8eefe/
7,2022 Land Rover Range Rover Sport HSE Silver Edition,"$84,995","8,061 mi.","
Mercedes-Benz of Stockton
",http://www.cars.com/vehicledetail/fc13c390-85bc-4d12-83d4-5e7aa26c1a94/
8,2023 Toyota Tacoma SR,"$27,778",6 mi.,"
AutoNation Toyota Irvine
",http://www.cars.com/vehicledetail/e4614f74-bb4c-4ffc-90f9-77f5c7dab65c/
9,2022 BMW X5 xDrive40i,"$69,820",7 mi.,"
BMW Encinitas
",http://www.cars.com/vehicledetail/d55f4354-4dc8-4dd9-baf8-215d2a8f88d8/
10,2022 BMW X5 xDrive40i,"$78,295",11 mi.,"
BMW Encinitas
",http://www.cars.com/vehicledetail/1d9d3505-8d21-4714-aedb-5c636f3387e4/
11,2022 BMW X5 xDrive40i,"$69,920",7 mi.,"
BMW Encinitas
",http://www.cars.com/vehicledetail/1defcbcc-1a21-4776-948b-9ec31475e3fc/
12,2023 Chevrolet Suburban Premier,Not Priced,,"
Classic Chevrolet Cadillac of Denison
",http://www.cars.com/vehicledetail/c40ec0fb-94bb-4441-a95e-e6a29ef4d6c7/
13,2021 Subaru Outback Limited,"$36,971","18,908 mi.","
Ramsey Subaru of Des Moines
",http://www.cars.com/vehicledetail/0da50122-fe69-406d-856c-0d1f5c7957d5/
14,2023 Kia Sportage X-Line,"$33,740",10 mi.,"
Elgin Kia
",http://www.cars.com/vehicledetail/4c670b2c-a86a-4f7d-aba8-1cd3d3f4e30c/
15,2022 Mazda CX-5 2.5 S Select Package,"$29,542","5,043 mi.","
Napleton's Palatine Mazda
",http://www.cars.com/vehicledetail/a48805c0-8900-47e4-85f0-1f10c3e07080/
16,2021 BMW 330e 330e,"$47,495","21,982 mi.","
BMW of Tuscaloosa
",http://www.cars.com/vehicledetail/914caddb-2b47-4451-8937-24cb6cdfd9b0/
17,2022 Hyundai Sonata SEL,"$28,110",9 mi.,"
Hyundai of Venice
",http://www.cars.com/vehicledetail/550b49cd-3c8d-499f-bcd4-a9c289a14f4f/
18,2022 Volvo XC90 T5 Momentum 7 Passenger,"$57,510",0 mi.,"
Prestige Volvo Cars
",http://www.cars.com/vehicledetail/444f156d-13fc-46db-bd08-f6f6b0f1ce65/
19,2022 Mercedes-Benz GLS 450 4MATIC,"$95,485","6,057 mi.","
Mercedes-Benz of Pompano
",http://www.cars.com/vehicledetail/c6d517a6-066c-4aaf-a8af-57397d847b60/
20,2023 Cadillac Escalade ESV Premium Luxury,"$98,915",3 mi.,"
Cadillac Of Greenwich
",http://www.cars.com/vehicledetail/9cb9e39f-62d1-474c-9179-53f51a425ffb/
21,2014 Ford Focus ST Base,"$17,750","80,916 mi.","
O'Meara Ford
",http://www.cars.com/vehicledetail/2d1897e5-2965-42f4-82a9-a1afccc4253f/
22,2019 Land Rover Range Rover Evoque SE Premium,"$31,999","49,050 mi.","
Merced Auto World
",http://www.cars.com/vehicledetail/ed8945a5-1403-498a-9c8f-ac3e5fb4f940/
23,2018 Mercedes-Benz GLC 300 Base,"$25,798","71,079 mi.","
Auto Resources
",http://www.cars.com/vehicledetail/75f1c0ed-b0c3-4f73-baba-2442d68f9339/
