,name,price,mileage,dealer_name,carURL
0,Certified 2022 Chevrolet Silverado 2500 High Country,"77,599","4,832 miles",American Chevrolet (3.5 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663624316&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
1,Used 2013 Toyota Sienna XLE,"20,911","81,203 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=663604434&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
2,Used 2018 Audi A6 2.0T Premium,"30,917","25,844 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664523&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
3,Used 2017 Lexus RX 350 FWD,"30,970","47,539 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=648064111&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
4,Used 2021 Subaru Forester Limited,"33,911","8,048 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=644199217&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
5,Used 2019 Lexus IS 300,"34,737","18,307 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=655315644&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
6,Used 2017 INFINITI Q60 3.0t,"35,777","16,647 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=642353901&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
7,Used 2021 Tesla Model 3 Standard Range Plus,"48,980","5,542 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=661669716&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
8,Used 2016 Tesla Model S 75,"52,780","44,831 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=657573867&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
9,Used 2021 RAM 1500 Rebel,"53,771","9,042 miles",Modesto Toyota (3.4 mi. away),https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=652664540&allListingType=all-cars&city=Modesto&state=CA&zip=95355&location=&searchRadius=50&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=1&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fmodesto-ca-95355%3Fdma%3D%26searchRadius%3D50%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D1&clickType=listing
