,Vehicle Name,Price,Mileage,Dealer Name,Link
0,2022 Kia Sorento SX Prestige,"$46,625","7,669 mi.","
Rudolph Mazda
",http://www.cars.com/vehicledetail/1944d595-5486-42c5-9211-1d287c2cfe91/
1,2022 Audi SQ5 3.0T Premium,"$57,900","8,012 mi.","
Audi Modesto
",http://www.cars.com/vehicledetail/93e2f1ce-911d-4609-9a25-2db0fc63a38d/
2,2021 Volkswagen Arteon 2.0T SE,"$34,990","3,815 mi.","
Central Valley Hyundai
",http://www.cars.com/vehicledetail/f825a23e-b263-406c-ab8e-df6a188e7c51/
3,2018 Lincoln MKZ Reserve I,"$29,997","23,176 mi.","
Roberts Auto Sales
",http://www.cars.com/vehicledetail/7c170c11-304d-4405-bee3-b3230be7eda7/
4,2020 Lincoln Nautilus Reserve,"$32,998","55,770 mi.","
Tracy Volkswagen
",http://www.cars.com/vehicledetail/9a8d3468-5ca9-4b8d-8ad9-69e038113114/
5,2017 GMC Yukon XL Denali,"$47,480","52,080 mi.","
Mataga Buick GMC Cadillac
",http://www.cars.com/vehicledetail/9e57ec84-c3af-4723-a7fe-b3b7e8268196/
6,2015 Ford Fiesta SE,"$12,555","30,314 mi.","
Merced Auto World
",http://www.cars.com/vehicledetail/3bcf1730-5dc1-4e68-ba6b-001219f424ed/
7,2019 Mercedes-Benz AMG G 63 Base,"$165,999","24,348 mi.","
Auto Resources
",http://www.cars.com/vehicledetail/b6367971-6018-4849-950b-1829f1db8420/
8,2019 Volkswagen Golf 1.4T SE,"$19,999","62,790 mi.","
Auto Resources
",http://www.cars.com/vehicledetail/8b394919-80c5-4d91-8a4e-43b508e7e1df/
9,2022 Volvo XC90 Recharge Plug-In Hybrid T8 Inscription 6 Passenger,"$70,988","12,256 mi.","
Audi Livermore
",http://www.cars.com/vehicledetail/bfb69285-2183-4d86-b4b6-c787ab82ce12/
10,2020 Audi Q5 e 55 Premium,"$43,000","27,835 mi.","
Land Rover Livermore
",http://www.cars.com/vehicledetail/ccb50265-460f-4abf-b125-65da07728d0b/
11,2018 Land Rover Range Rover Evoque Landmark Edition,"$31,000","24,950 mi.","
Land Rover Livermore
",http://www.cars.com/vehicledetail/526d109c-c9ae-4a06-b62f-f3ddf4699534/
12,2022 Kia Telluride S,"$41,998",134 mi.,"
Arapahoe Kia
",http://www.cars.com/vehicledetail/313acbdb-f57d-4b84-9b2c-d9bbf2414e1c/
13,2023 Acura MDX Technology,"$53,814","6,628 mi.","
Vandergriff Acura
",http://www.cars.com/vehicledetail/1f6ca32f-29db-4a52-8675-3518fbf6759b/
14,2022 Acura TLX A-Spec,"$46,754",457 mi.,"
Vandergriff Acura
",http://www.cars.com/vehicledetail/53a4c384-763b-4d72-a9c9-4856ec6ce551/
15,2022 Volkswagen Atlas 2.0T SE,"$38,370","9,072 mi.","
Don Thornton Volkswagen of Tulsa
",http://www.cars.com/vehicledetail/c31ee430-b029-4c9a-91ab-d394836bff16/
16,2022 Ford Explorer Timberline,"$48,000","4,535 mi.","
Jimmy Michel Motors
",http://www.cars.com/vehicledetail/5e11ebd9-a20c-44e4-b463-3554ff8f0f22/
17,2022 BMW X7 M50i,"$112,820","3,884 mi.","
BMW MINI of Clear Lake
",http://www.cars.com/vehicledetail/f0cde3bb-2ac1-470a-9c9a-5c75fc9268d2/
18,2022 Mercedes-Benz GLB 250 Base 4MATIC,"$51,624",2 mi.,"
Mercedes-Benz of Marion
",http://www.cars.com/vehicledetail/f38ae25b-d07d-4ff2-94c8-6c7a21b6fd6b/
19,2020 Land Rover Range Rover Evoque S,"$38,494","18,052 mi.","
Land Rover Jaguar Main Line
",http://www.cars.com/vehicledetail/d1a491f2-8e93-4365-a6b7-5de0c37efb49/
20,2022 Ford Mustang GT Premium,"$51,600",10 mi.,"
Greenwich Ford
",http://www.cars.com/vehicledetail/e7cdeb1c-ebf6-4b92-907e-828fd4b9016e/
21,2015 Toyota Highlander Limited Platinum,"$36,998","20,555 mi.","
CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/320d88cc-36d8-4dcf-ba4a-ded9b874d269/
22,2021 BMW X6 M Base,"$107,998","9,968 mi.","
CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/8c02fbb1-ca1d-4bd8-be37-52023a7b6f81/
23,2009 Mercedes-Benz S-Class S 550 4MATIC,"$16,981","84,760 mi.","
Mercedes-Benz of San Jose
",http://www.cars.com/vehicledetail/6d4c0bd8-78e3-4f02-809c-fcd1974c9db9/
24,2014 Toyota Avalon XLE Touring,"$23,590","28,280 mi.","
Carvana-Touchless Delivery To Your Home
",http://www.cars.com/vehicledetail/dc7154d3-fe1d-446b-8799-5a7250ee12a0/
25,2018 Land Rover Range Rover Evoque SE Premium,"$30,955","23,070 mi.","
Mercedes-Benz of San Jose
",http://www.cars.com/vehicledetail/4a636571-c292-4124-8eed-3d9818d01c30/
26,2018 Lincoln Continental Reserve,"$38,389","30,740 mi.","
Mercedes-Benz of San Jose
",http://www.cars.com/vehicledetail/63b20710-4f13-4277-a4aa-2c5a00bb99b9/
27,2012 INFINITI QX56 Base,"$17,800","125,567 mi.","
Eastbay Motorcars
",http://www.cars.com/vehicledetail/1616dadf-ec37-4e8c-9cc7-3d75058d5c22/
28,2013 Nissan 370Z NISMO,"$30,609","48,000 mi.","
TRED Private Seller (San Jose)
",http://www.cars.com/vehicledetail/e207af1c-1b7f-4573-a0c7-551410bd8c24/
29,2012 Acura TSX Technology,"$19,990","37,821 mi.","
Carvana-Touchless Delivery To Your Home
",http://www.cars.com/vehicledetail/788080a2-f5a0-4b89-beea-d872cd1bc375/
30,2017 FIAT 500X Pop,"$19,590","31,486 mi.","
Carvana-Touchless Delivery To Your Home
",http://www.cars.com/vehicledetail/db66db67-4e69-4b54-b896-a75f06f7848e/
31,2021 BMW X5 PHEV xDrive45e,"$62,995","28,555 mi.","
BMW of Fremont
",http://www.cars.com/vehicledetail/daf1a3a4-8e1c-41b1-b09e-e0f3446107bd/
32,2020 BMW 740 i,"$50,484","30,831 mi.","
Fletcher Jones Motorcars of Fremont
",http://www.cars.com/vehicledetail/52b1d2dc-f5bc-4b3c-b76a-86b4f234a20a/
33,2020 Volvo V90 Cross Country T6,"$47,990","10,869 mi.","
Capitol Chevrolet
",http://www.cars.com/vehicledetail/bfa46b81-9f5d-4bc8-86ac-00ba11ee6cc5/
34,2019 Lincoln MKC Select,"$24,990","40,152 mi.","
Capitol Buick GMC
",http://www.cars.com/vehicledetail/8ee8168c-e5e6-49dc-b3fa-04d54f2177c2/
35,2022 Hyundai Elantra N Base,"$37,900","2,938 mi.","
Capitol Hyundai
",http://www.cars.com/vehicledetail/4492dbdc-f5e7-40ef-99cb-7279ebd75189/
36,2017 Genesis G90 3.3T Premium,"$34,900","33,982 mi.","
Capitol Hyundai
",http://www.cars.com/vehicledetail/e7d6ebed-c8da-4969-a330-375ab895ad68/
37,2019 Ford Escape SE,"$22,998","29,600 mi.","
CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/c7889634-a986-444b-894d-621ca819f85a/
38,2015 Land Rover Discovery Sport SE,"$22,998","64,891 mi.","
CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/5af6e101-9d1c-4a41-8b2f-21df0c342292/
39,2017 RAM 1500 Tradesman/Express,"$17,998","119,037 mi.","
CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/c93e78c0-6f83-4f7d-a65d-ef0ef1e93930/
40,2018 Chrysler Pacifica Touring-L,"$24,998","61,493 mi.","
CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/ee030711-f3cf-4f30-8c52-31265ee7104d/
41,2021 BMW Z4 sDrive30i,"$43,995","20,893 mi.","
INFINITI of San Jose
",http://www.cars.com/vehicledetail/94aeaf17-d87b-404b-91f0-d153e42eb7f4/
42,2020 Toyota Tundra 1794,"$61,998","2,383 mi.","
CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/8bced9a6-73f4-4e04-8ef6-109c9a9385a9/
43,2014 Audi S4 3.0T Prestige,"$31,998","45,607 mi.","
CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/044f48b2-00fe-4f71-889d-90cb2e7efb57/
44,2017 Hyundai Accent SE,"$15,998","45,327 mi.","
CarMax Sacramento South - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/1000d9ba-40a9-480e-9c31-e1da03c930d7/
45,2022 Polestar 2 Long Range Dual Motor,"$49,000","26,700 mi.","
TRED Private Seller (Sacramento)
",http://www.cars.com/vehicledetail/6104f720-8ec8-42c2-87ad-c74e7dadf63b/
46,2018 BMW 330e iPerformance,"$28,695","23,676 mi.","
United Imports
",http://www.cars.com/vehicledetail/4998f661-147c-45a5-b045-3091643d1d99/
47,2021 BMW X4 xDrive30i,"$39,995","42,529 mi.","
United Imports
",http://www.cars.com/vehicledetail/806c017f-c8d0-463a-8cd6-9066c2ef7f59/
48,2015 BMW 640 Gran Coupe i,"$28,255","69,940 mi.","
MINI of Stevens Creek
",http://www.cars.com/vehicledetail/b3300b32-ed7b-4196-9fdb-0d12a7d64aaa/
49,2018 Land Rover Range Rover Evoque SE Premium,"$32,993","20,159 mi.","
MINI of Stevens Creek
",http://www.cars.com/vehicledetail/f697a632-81bd-4f29-ac8c-131b3cc52fd7/
50,2022 BMW M3 Competition,"$84,488","11,077 mi.","
Stevens Creek BMW
",http://www.cars.com/vehicledetail/001e0de4-6185-47f2-be1e-4001c338cc74/
51,2016 Cadillac CTS 3.6L Twin Turbo Vsport,"$29,940","63,486 mi.","
Stevens Creek Mazda
",http://www.cars.com/vehicledetail/4b03def3-164f-4c10-91ac-d0d911bc90e6/
52,2013 Maserati GranTurismo Sport,"$42,955","23,289 mi.","
Mercedes-Benz of Stevens Creek
",http://www.cars.com/vehicledetail/97877b80-afda-4825-8eae-6cb74e008ad7/
53,2022 Maserati Levante GT,"$71,455","2,620 mi.","
Mercedes-Benz of Stevens Creek
",http://www.cars.com/vehicledetail/8a7fdf83-0dd1-45fb-b5c7-c27cc1c8ea02/
54,2020 Mercedes-Benz GLS 450 Base 4MATIC,"$63,955","32,613 mi.","
Mercedes-Benz of Stevens Creek
",http://www.cars.com/vehicledetail/60d04a86-ec10-445d-8542-64e59168224f/
55,2018 Toyota Prius Four,"$24,950","62,526 mi.","
Shift Sacramento - Online
",http://www.cars.com/vehicledetail/d296d945-cbd9-4fe6-a8c2-355e0a376356/
56,2015 Nissan Altima 2.5 S,"$14,950","54,619 mi.","
Shift Sacramento - Online
",http://www.cars.com/vehicledetail/ef72d58d-8f27-431b-bf8f-4b736c6b9499/
57,2006 Dodge Sprinter 2500,"$29,998","105,205 mi.","
Calidad Motors, Inc
",http://www.cars.com/vehicledetail/27fd3b6c-ca41-433b-863a-4b12701a7f8f/
58,2020 INFINITI Q60 3.0t LUXE,"$36,888","54,986 mi.","
Calidad Motors, Inc
",http://www.cars.com/vehicledetail/2d675ea0-2544-463b-b7ee-1231a82a099f/
59,2014 Dodge Charger Police,"$12,988","106,065 mi.","
Thrifty Car Sales
",http://www.cars.com/vehicledetail/93cc4bed-d883-4934-bf09-a2a23f7bf1dc/
60,2004 INFINITI G35 Base,"$6,995","158,305 mi.","
Urban Motors
",http://www.cars.com/vehicledetail/c99c3c86-9752-49b3-9988-beaedeb11c43/
61,2011 Land Rover LR4 Base,"$19,995","69,401 mi.","
MAG Motor Company
",http://www.cars.com/vehicledetail/d9bdc724-6ade-4b93-89bb-c62822e9d71a/
62,2016 Lincoln MKX Reserve,"$27,100","52,802 mi.","
Ron Sayer's Chrysler Jeep Dodge RAM
",http://www.cars.com/vehicledetail/379982b3-fd0e-4900-93f6-b5c4f55797eb/
63,2020 Chrysler Pacifica Touring-L,"$20,899","68,038 mi.","
Mercedes-Benz of Walnut Creek
",http://www.cars.com/vehicledetail/3a6200bf-cfb8-4781-b050-f83f30a31ff6/
