,Name,Mileage,Price,Dealer Name,Link
0,2021 Audi Q5 e 55 Premium,"11,837 mi.","$52,492",Emich VW of Boulder,/vehicledetail/2a62165e-f464-4c56-885f-fb514acb3b1d/
1,2017 Lexus IS 200t Base,"44,904 mi.","$28,900",Audi Modesto,/vehicledetail/6942c51b-c26c-4614-97f1-acb0b7517b82/
2,2021 Lincoln Corsair Reserve,"7,877 mi.","$43,797",Roberts Auto Sales,/vehicledetail/e575219a-90fa-4a95-ade5-d2740e746cd0/
3,2021 Hyundai IONIQ Hybrid SE,"19,500 mi.","$26,997",Roberts Auto Sales,/vehicledetail/716b65ec-3abd-42e4-b19b-9024d2ad58f1/
4,2021 GMC Yukon XL Denali,"29,274 mi.","$74,888",Bonander Buick GMC,/vehicledetail/475045f6-142a-440f-80e7-2c3ae289fee2/
5,2007 Chevrolet Silverado 1500 ,"121,887 mi.","$12,688",Hilmar Auto Depot,/vehicledetail/56080319-0bb9-49e0-8758-24f58d0d5d76/
6,2017 Audi A3 2.0T Premium Plus,"59,417 mi.","$29,999",BabaCars,/vehicledetail/2baf72df-5215-4f46-98b6-9112b146e436/
7,2020 Cadillac CT5 Sport RWD,"9,848 mi.","$44,939",Mataga Buick GMC Cadillac,/vehicledetail/4159431a-1051-4846-91d9-5c0db6794da3/
8,2020 Cadillac Escalade ESV Platinum,"58,423 mi.","$62,789",Merced Chevrolet,/vehicledetail/91dbd129-4e69-4b88-9662-168dbf29fe2c/
9,2014 Toyota Sienna XLE,"139,871 mi.","$18,900",Porsche Livermore,/vehicledetail/a47ea639-035c-443f-90e4-cd245ff1fe9f/
10,2018 Nissan Titan S,"24,398 mi.","$36,998",CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery,/vehicledetail/d7d82ea7-58f7-4eb2-9947-f5df15aab650/
11,2009 Mercedes-Benz S-Class S 550 4MATIC,"84,760 mi.","$16,981",Mercedes-Benz of San Jose,/vehicledetail/6d4c0bd8-78e3-4f02-809c-fcd1974c9db9/
12,2021 Mercedes-Benz CLS 450 Base,"15,842 mi.","$68,995",Mercedes-Benz of San Jose,/vehicledetail/065d6334-9d88-4003-b1f1-4a484d522838/
13,2013 Nissan 370Z NISMO,"48,000 mi.","$30,609",TRED Private Seller (San Jose),/vehicledetail/e207af1c-1b7f-4573-a0c7-551410bd8c24/
14,2019 Kia K900 Luxury,"20,897 mi.","$44,500",Capitol Kia,/vehicledetail/2201454d-7aaa-4e7a-91eb-51dc93264dab/
15,2022 BMW 530e 530e,"9,135 mi.","$58,998",CarMax Capitol Expressway - Now offering Curbside Pickup and Home Delivery,/vehicledetail/1fde992c-ec5f-47c8-a947-2c782c26ae37/
16,2022 Toyota Avalon XLE,684 mi.,"$42,820",Shottenkirk Toyota of Granbury,/vehicledetail/91a6869a-ee59-473d-949c-22afc3a53d99/
17,2022 Ford Bronco Badlands,91 mi.,"$79,988",Maxwell Ford,/vehicledetail/3afae0c1-88c1-4cd8-ba0f-67a9b33ec7ec/
18,2022 Lexus IS 350 F Sport,"6,047 mi.",Not Priced,Sterling McCall Lexus Clear Lake,/vehicledetail/fdbb6d99-c7a0-4ec4-bb97-443e259f585d/
19,2021 Acura RDX A-Spec,"14,060 mi.","$46,991",Nalley Acura,/vehicledetail/53312813-d53f-4173-95a7-58a14d47df32/
20,2022 Buick Encore Preferred,3 mi.,"$23,950",Impex Chevrolet GMC Buick,/vehicledetail/c9ba9f59-c51f-402f-8398-f5266d1d5592/
21,2018 Porsche Panamera Sport Turismo 4S,"36,792 mi.","$84,880",Porsche Minneapolis,/vehicledetail/1b739d0c-67b9-4eda-80d1-9ded8b6a5b5d/
22,2016 Cadillac ATS 2.0L Turbo,"63,882 mi.","$19,994",Audi Fremont,/vehicledetail/5affb589-76a7-4b43-aa4a-8e8226cd08f3/
23,2012 BMW X3 xDrive28i,"57,492 mi.","$15,887",BMW of Fremont,/vehicledetail/7d42ba26-610d-4dbb-bceb-b8ffec14decc/
24,2021 Acura TLX A-Spec,"11,045 mi.","$41,953",Fletcher Jones Motorcars of Fremont,/vehicledetail/9fd4b6c6-955c-4c31-89c0-9e81b3ad0e57/
25,2022 GMC Canyon Elevation Standard,"9,916 mi.","$32,490",Capitol Buick GMC,/vehicledetail/7aae6262-9eeb-401f-b420-9f06994c8a01/
26,2014 Chevrolet Express 2500 Work Van,"92,112 mi.","$20,995",Elias Motors,/vehicledetail/cd05f041-d2f3-4028-90e8-0779f597adcf/
