,Vehicle Name,Price,Mileage,Dealer Name,Link
0,2019 Lincoln Nautilus Reserve,"$35,134","35,274 mi.","
Puente Hills Mitsubishi
",http://www.cars.com/vehicledetail/14b11530-7489-4bdf-916c-5cf95dd3b97c/
1,2017 Lexus IS 200t Base,"$28,900","44,904 mi.","
Audi Modesto
",http://www.cars.com/vehicledetail/6942c51b-c26c-4614-97f1-acb0b7517b82/
2,2021 Hyundai IONIQ Hybrid SE,"$26,997","19,500 mi.","
Roberts Auto Sales
",http://www.cars.com/vehicledetail/716b65ec-3abd-42e4-b19b-9024d2ad58f1/
3,2021 Lincoln Corsair Reserve,"$43,797","7,877 mi.","
Roberts Auto Sales
",http://www.cars.com/vehicledetail/e575219a-90fa-4a95-ade5-d2740e746cd0/
4,2021 GMC Yukon XL Denali,"$74,888","29,274 mi.","
Bonander Buick GMC
",http://www.cars.com/vehicledetail/475045f6-142a-440f-80e7-2c3ae289fee2/
5,2007 Chevrolet Silverado 1500 ,"$12,688","121,887 mi.","
Hilmar Auto Depot
",http://www.cars.com/vehicledetail/56080319-0bb9-49e0-8758-24f58d0d5d76/
6,2017 Audi A3 2.0T Premium Plus,"$29,999","59,417 mi.","
BabaCars
",http://www.cars.com/vehicledetail/2baf72df-5215-4f46-98b6-9112b146e436/
7,2023 Toyota Tacoma SR,"$27,778",6 mi.,"
AutoNation Toyota Irvine
",http://www.cars.com/vehicledetail/e4614f74-bb4c-4ffc-90f9-77f5c7dab65c/
8,2022 BMW X5 xDrive40i,"$78,295",11 mi.,"
BMW Encinitas
",http://www.cars.com/vehicledetail/1d9d3505-8d21-4714-aedb-5c636f3387e4/
9,2022 BMW X5 xDrive40i,"$79,745",5 mi.,"
BMW Encinitas
",http://www.cars.com/vehicledetail/73e5cc49-dfef-4e46-9dbc-944c212151ee/
10,2022 Ford Bronco Badlands,"$79,988",5 mi.,"
Maxwell Ford
",http://www.cars.com/vehicledetail/3afae0c1-88c1-4cd8-ba0f-67a9b33ec7ec/
11,2021 Honda Pilot Elite,"$44,000","31,018 mi.","
Jay Wolfe Honda
",http://www.cars.com/vehicledetail/1d1943b9-dd6b-4201-acf7-10dd01d247ff/
12,2021 Subaru Outback Limited,"$36,971","18,908 mi.","
Ramsey Subaru of Des Moines
",http://www.cars.com/vehicledetail/0da50122-fe69-406d-856c-0d1f5c7957d5/
13,2021 Subaru Impreza 2.0i Limited,"$27,572","20,896 mi.","
Ramsey Subaru of Des Moines
",http://www.cars.com/vehicledetail/37682cd3-459b-430a-9b98-9f2223c97c07/
14,2022 Lexus IS 350 F Sport,Not Priced,"6,047 mi.","
Sterling McCall Lexus Clear Lake
",http://www.cars.com/vehicledetail/fdbb6d99-c7a0-4ec4-bb97-443e259f585d/
15,2022 Mazda CX-5 2.5 S Select Package,"$29,542","5,043 mi.","
Napleton's Palatine Mazda
",http://www.cars.com/vehicledetail/a48805c0-8900-47e4-85f0-1f10c3e07080/
16,2022 Mercedes-Benz GLE 350 Base 4MATIC,"$67,075",7 mi.,"
Knauz Auto Park
",http://www.cars.com/vehicledetail/9bb83ffb-0b2a-4e99-93d8-bea5c6dd9117/
17,2023 Toyota 4Runner TRD Pro,"$57,469",4 mi.,"
My Auto Import Center
",http://www.cars.com/vehicledetail/0952153f-2119-4aa1-9a59-d45c212088bd/
18,2021 Acura RDX A-Spec,"$46,991","14,060 mi.","
Nalley Acura
",http://www.cars.com/vehicledetail/53312813-d53f-4173-95a7-58a14d47df32/
19,2022 Mercedes-Benz GLS 450 4MATIC,"$95,485","6,057 mi.","
Mercedes-Benz of Pompano
",http://www.cars.com/vehicledetail/c6d517a6-066c-4aaf-a8af-57397d847b60/
20,2023 Cadillac Escalade ESV Premium Luxury,"$98,915",3 mi.,"
Cadillac Of Greenwich
",http://www.cars.com/vehicledetail/9cb9e39f-62d1-474c-9179-53f51a425ffb/
21,2018 Porsche Panamera Sport Turismo 4S,"$84,880","36,792 mi.","
Porsche Minneapolis
",http://www.cars.com/vehicledetail/1b739d0c-67b9-4eda-80d1-9ded8b6a5b5d/
22,2020 Cadillac CT5 Sport RWD,"$44,939","9,848 mi.","
Mataga Buick GMC Cadillac
",http://www.cars.com/vehicledetail/4159431a-1051-4846-91d9-5c0db6794da3/
23,2020 Cadillac Escalade ESV Platinum,"$62,789","58,423 mi.","
Merced Chevrolet
",http://www.cars.com/vehicledetail/91dbd129-4e69-4b88-9662-168dbf29fe2c/
24,2014 Toyota Sienna XLE,"$18,900","139,871 mi.","
Porsche Livermore
",http://www.cars.com/vehicledetail/a47ea639-035c-443f-90e4-cd245ff1fe9f/
25,2018 Nissan Titan S,"$36,998","24,398 mi.","
CarMax Pleasanton - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/d7d82ea7-58f7-4eb2-9947-f5df15aab650/
26,2021 Mercedes-Benz CLS 450 Base,"$68,995","15,842 mi.","
Mercedes-Benz of San Jose
",http://www.cars.com/vehicledetail/065d6334-9d88-4003-b1f1-4a484d522838/
